DateTime,Santee_Discharge,FashionValley_Discharge,Lindberch_Precipitation,Lindberch_AirTemperature,Lindberch_WindSpeed
1940-12-18,11.326720000000002,,0.0,1.525,
1940-12-19,5.663360000000001,,0.0,1.555,
1940-12-20,2.8316800000000004,,0.0,1.555,
1940-12-21,2.8316800000000004,,0.0,1.695,
1940-12-22,2.8316800000000004,,0.0,1.585,
1940-12-23,73.62368000000002,,5.87,1.58,
1940-12-24,54651.424000000006,,3.73,1.635,
1940-12-25,10901.968,,0.0,1.385,
1940-12-26,3171.4816,,0.0,1.28,
1940-12-27,1472.4736,,0.0,1.42,
1940-12-28,877.8208,,0.71,1.53,
1940-12-29,1897.2256,,1.37,1.5,
1940-12-30,2576.8288,,0.0,1.475,
1940-12-31,1642.3744000000006,,0.0,1.5,
1941-01-01,1217.6224,,0.0,1.47,
1941-01-02,821.1872000000003,,0.0,1.385,
1941-01-03,679.6032,,0.0,1.275,
1941-01-04,594.6528000000002,,0.08,1.28,
1941-01-05,509.7024,,0.0,1.365,
1941-01-06,481.3856,,0.0,1.47,
1941-01-07,396.4352,,0.0,1.525,
1941-01-08,339.8016,,0.0,1.53,
1941-01-09,311.4848,,0.0,1.665,
1941-01-10,339.8016,,1.85,1.635,
1941-01-11,339.8016,,0.0,1.5,
1941-01-12,311.4848,,0.0,1.415,
1941-01-13,269.0096,,0.0,1.305,
1941-01-14,269.0096,,0.15,1.36,
1941-01-15,269.0096,,0.0,1.33,
1941-01-16,226.5344,,0.0,1.385,
1941-01-17,212.376,,0.0,1.415,
1941-01-18,198.2176,,0.0,1.5,
1941-01-19,184.0592,,0.0,1.305,
1941-01-20,184.0592,,0.15,1.275,
1941-01-21,169.9008,,0.0,1.28,
1941-01-22,339.8016,,1.09,1.36,
1941-01-23,254.8512,,0.03,1.25,
1941-01-24,509.7024,,1.57,1.475,
1941-01-25,764.5536,,0.0,1.415,
1941-01-26,538.0192,,0.0,1.415,
1941-01-27,481.3856,,0.13,1.415,
1941-01-28,453.0688,,0.08,1.61,
1941-01-29,509.7024,,0.03,1.61,
1941-01-30,396.4352,,0.0,1.415,
1941-01-31,311.4848,,0.0,1.36,
1941-02-01,283.168,,0.0,1.47,
1941-02-02,269.0096,,0.0,1.53,
1941-02-03,226.5344,,0.0,1.61,
