param#0 	 param#1 	 param#2 	 param#3 	 param#4 	 param#5 	 param#6 	 param#7 	 dist 	  wgt 
0.327100 	0.087724 	1.483051 	0.082637 	1.064852 	5.457670 	0.529313 	0.019791 	1.057351 	0.000000 	
0.572319 	0.295491 	1.787640 	0.187374 	1.045745 	2.011478 	0.563055 	0.174910 	1.912931 	0.000000 	
-0.086529 	0.257929 	1.654639 	0.052620 	1.005529 	4.907048 	0.637709 	-0.002009 	1.244036 	0.000000 	
-0.237067 	0.064206 	1.683371 	0.162371 	1.117912 	4.129907 	0.553651 	0.176066 	1.736443 	0.000000 	
0.383674 	0.135969 	1.322670 	0.122843 	0.887264 	2.056687 	0.490640 	0.105054 	1.045792 	0.000000 	
-0.244870 	0.054097 	1.511472 	0.162841 	0.950830 	4.346787 	0.430682 	-0.034642 	1.751100 	0.000000 	
0.219990 	0.370480 	1.705723 	0.216410 	1.053245 	3.976329 	0.406920 	0.006507 	1.203242 	0.014950 	
0.119890 	0.257636 	1.620088 	0.082887 	0.852759 	4.766503 	0.555524 	0.058513 	1.042433 	0.000000 	
0.520947 	0.091405 	1.538939 	0.154038 	1.130399 	5.034418 	0.433422 	0.177674 	1.626087 	0.001691 	
0.263621 	0.141130 	1.701089 	0.138045 	1.089236 	4.597381 	0.599205 	0.216718 	1.047913 	0.013028 	
-0.256729 	0.275734 	1.562586 	0.139829 	1.083247 	5.333055 	0.417509 	0.060130 	1.996627 	0.000000 	
0.401916 	0.264335 	1.612318 	0.102308 	0.921133 	3.297337 	0.413987 	0.252203 	1.533385 	0.006687 	
-0.126067 	0.385925 	1.678774 	0.169958 	0.921420 	4.427110 	0.425621 	0.125736 	1.584381 	0.000000 	
-0.238094 	0.084989 	1.658278 	0.140971 	0.895963 	5.228404 	0.472661 	0.007551 	1.758873 	0.000000 	
