DateTime,Altamaha_Discharge,Sapelo_Precipitation,MarshLanding_Precipitation,Sapelo_AirTemperature,MarshLanding_AirTemperature,MarshLanding_SolarRadiation,MarshLanding_RelativeHumidity,MarshLanding_WindDirection,MarshLanding_WindSpeed
1957-11-01,215363.0,0.0,,17.8,,,,,
1957-11-02,215363.0,0.0,,17.8,,,,,
1957-11-03,215363.0,0.0,,20.6,,,,,
1957-11-04,215363.0,0.0,,20.6,,,,,
1957-11-05,219608.0,0.0,,17.8,,,,,
1957-11-06,223853.0,0.0,,16.7,,,,,
1957-11-07,219608.0,0.0,,17.8,,,,,
1957-11-08,203194.0,0.0,,21.1,,,,,
1957-11-09,177724.0,0.0,,16.1,,,,,
1957-11-10,167536.0,0.0,,8.9,,,,,
1957-11-11,167536.0,0.0,,10.6,,,,,
1957-11-12,167536.0,0.0,,11.7,,,,,
1957-11-13,160744.0,0.0,,17.8,,,,,
1957-11-14,150556.0,3.81,,18.3,,,,,
1957-11-15,147160.0,0.0,,19.4,,,,,
1957-11-16,153952.0,3.56,,21.7,,,,,
1957-11-17,177724.0,0.25,,21.1,,,,,
1957-11-18,191874.0,0.0,,21.1,,,,,
1957-11-19,203194.0,1.52,,21.1,,,,,
1957-11-20,219608.0,0.0,,13.9,,,,,
1957-11-21,228381.0,0.0,,11.1,,,,,
1957-11-22,247059.0,1.02,,13.9,,,,,
1957-11-23,267152.0,6.86,,20.0,,,,,
1957-11-24,288660.0,0.25,,14.4,,,,,
1957-11-25,311300.0,9.91,,17.8,,,,,
1957-11-26,331110.0,0.0,,12.2,,,,,
1957-11-27,370730.0,0.0,,15.0,,,,,
1957-11-28,387710.0,6.86,,20.6,,,,,
1957-11-29,444310.0,11.43,,21.7,,,,,
1957-11-30,509400.0,33.53,,15.6,,,,,
1957-12-01,554680.0,0.0,,5.6,,,,,
1957-12-02,580150.0,0.0,,10.6,,,,,
1957-12-03,693350.0,0.0,,8.9,,,,,
1957-12-04,786740.0,0.25,,10.6,,,,,
1957-12-05,854660.0,0.0,,8.3,,,,,
1957-12-06,925410.0,0.0,,10.6,,,,,
1957-12-07,962200.0,0.0,,16.1,,,,,
1957-12-08,998990.0,4.83,,15.0,,,,,
1957-12-09,1038610.0,24.38,,11.7,,,,,
1957-12-10,1038610.0,2.03,,7.2,,,,,
1957-12-11,1038610.0,0.0,,6.7,,,,,
1957-12-12,1038610.0,0.0,,-1.1,,,,,
1957-12-13,1038610.0,0.0,,1.7,,,,,
1957-12-14,1038610.0,0.0,,10.0,,,,,
1957-12-15,1038610.0,0.0,,12.2,,,,,
1957-12-16,998990.0,0.0,,13.9,,,,,
1957-12-17,962200.0,0.0,,12.8,,,,,
1957-12-18,925410.0,0.0,,12.8,,,,,
1957-12-19,888620.0,0.0,,14.4,,,,,
1957-12-20,854660.0,0.0,,15.6,,,,,
1957-12-21,854660.0,0.25,,13.35,,,,,
1957-12-22,786740.0,0.0,,11.1,,,,,
1957-12-23,755610.0,0.0,,16.7,,,,,
1957-12-24,693350.0,1.52,,16.15,,,,,
1957-12-25,662220.0,1.52,,15.6,,,,,
1957-12-26,633920.0,7.11,,14.625,,,,,
1957-12-27,605620.0,0.0,,13.65,,,,,
1957-12-28,580150.0,0.0,,12.675,,,,,
1957-12-29,554680.0,0.0,,11.7,,,,,
1957-12-30,532040.0,0.0,,11.7,,,,,
1957-12-31,509400.0,0.0,,10.0,,,,,
1958-01-01,509400.0,0.76,,11.1,,,,,
1958-01-02,509400.0,0.0,,4.4,,,,,
1958-01-03,509400.0,0.0,,4.4,,,,,
1958-01-04,509400.0,0.0,,3.3,,,,,
1958-01-05,509400.0,0.0,,2.8,,,,,
1958-01-06,509400.0,0.0,,3.9,,,,,
1958-01-07,509400.0,31.5,,8.3,,,,,
1958-01-08,486760.0,0.0,,3.3,,,,,
1958-01-09,486760.0,0.0,,0.6,,,,,
1958-01-10,486760.0,0.0,,3.3,,,,,
1958-01-11,486760.0,0.0,,8.9,,,,,
1958-01-12,509400.0,0.0,,7.8,,,,,
1958-01-13,532040.0,17.78,,11.7,,,,,
1958-01-14,532040.0,0.0,,10.725,,,,,
1958-01-15,509400.0,0.0,,9.75,,,,,
1958-01-16,509400.0,0.0,,8.775,,,,,
1958-01-17,486760.0,0.0,,7.8,,,,,
1958-01-18,464120.0,0.0,,5.6,,,,,
1958-01-19,464120.0,0.0,,3.3,,,,,
1958-01-20,444310.0,0.0,,9.4,,,,,
1958-01-21,444310.0,12.95,,14.4,,,,,
1958-01-22,424500.0,0.0,,11.7,,,,,
1958-01-23,424500.0,0.0,,8.3,,,,,
1958-01-24,404690.0,8.64,,12.8,,,,,
1958-01-25,404690.0,0.0,,11.7,,,,,
1958-01-26,424500.0,0.0,,7.2,,,,,
1958-01-27,444310.0,0.0,,10.0,,,,,
1958-01-28,464120.0,0.0,,8.3,,,,,
1958-01-29,486760.0,3.3,,8.3,,,,,
1958-01-30,532040.0,0.25,,9.4,,,,,
1958-01-31,554680.0,0.0,,8.3,,,,,
1958-02-01,580150.0,0.0,,12.8,,,,,
1958-02-02,605620.0,0.0,,5.0,,,,,
1958-02-03,633920.0,0.0,,3.9,,,,,
1958-02-04,662220.0,0.0,,4.4,,,,,
1958-02-05,662220.0,0.0,,10.6,,,,,
1958-02-06,693350.0,0.0,,11.1,,,,,
1958-02-07,693350.0,10.41,,16.1,,,,,
1958-02-08,724480.0,0.0,,7.8,,,,,
1958-02-09,724480.0,0.0,,5.0,,,,,
1958-02-10,693350.0,0.0,,6.1,,,,,
1958-02-11,693350.0,5.33,,3.9,,,,,
1958-02-12,693350.0,0.0,,7.2,,,,,
1958-02-13,662220.0,3.05,,4.4,,,,,
1958-02-14,662220.0,0.0,,2.8,,,,,
1958-02-15,662220.0,9.14,,11.1,,,,,
1958-02-16,662220.0,0.0,,3.3,,,,,
1958-02-17,662220.0,0.0,,-2.2,,,,,
1958-02-18,724480.0,0.0,,-1.7,,,,,
1958-02-19,786740.0,0.0,,1.1,,,,,
1958-02-20,854660.0,0.0,,3.9,,,,,
1958-02-21,925410.0,0.0,,4.4,,,,,
1958-02-22,962200.0,0.0,,9.4,,,,,
1958-02-23,962200.0,0.0,,11.1,,,,,
1958-02-24,962200.0,0.0,,12.2,,,,,
1958-02-25,925410.0,0.0,,15.6,,,,,
1958-02-26,854660.0,30.73,,16.7,,,,,
1958-02-27,786740.0,21.34,,17.8,,,,,
1958-02-28,724480.0,0.0,,15.6,,,,,
1958-03-01,662220.0,0.0,,15.0,,,,,
1958-03-02,605620.0,5.08,,12.8,,,,,
1958-03-03,605620.0,0.0,,17.8,,,,,
1958-03-04,633920.0,0.0,,13.9,,,,,
1958-03-05,662220.0,0.0,,11.1,,,,,
1958-03-06,724480.0,14.73,,12.8,,,,,
1958-03-07,786740.0,11.18,,13.3,,,,,
1958-03-08,888620.0,7.11,,11.7,,,,,
1958-03-09,998990.0,9.14,,17.2,,,,,
1958-03-10,1120680.0,0.0,,15.0,,,,,
1958-03-11,1208410.0,0.0,,10.6,,,,,
1958-03-12,1352740.0,0.0,,12.8,,,,,
1958-03-13,1406510.0,4.06,,17.8,,,,,
1958-03-14,1463110.0,0.0,,13.3,,,,,
1958-03-15,1519710.0,0.0,,10.6,,,,,
1958-03-16,1519710.0,0.0,,10.6,,,,,
1958-03-17,1519710.0,0.0,,11.7,,,,,
1958-03-18,1519710.0,6.1,,14.4,,,,,
1958-03-19,1519710.0,13.46,,12.8,,,,,
1958-03-20,1519710.0,0.0,,10.0,,,,,
1958-03-21,1463110.0,0.0,,8.3,,,,,
1958-03-22,1406510.0,0.0,,9.4,,,,,
1958-03-23,1301800.0,0.0,,11.7,,,,,
1958-03-24,1253690.0,19.05,,13.3,,,,,
1958-03-25,1208410.0,0.76,,16.1,,,,,
1958-03-26,1120680.0,3.81,,14.4,,,,,
1958-03-27,1078230.0,3.3,,13.9,,,,,
1958-03-28,998990.0,0.0,,11.1,,,,,
1958-03-29,962200.0,0.0,,12.8,,,,,
1958-03-30,888620.0,2.54,,15.0,,,,,
1958-03-31,854660.0,11.68,,18.3,,,,,
1958-04-01,820700.0,0.0,,15.6,,,,,
1958-04-02,786740.0,0.0,,15.0,,,,,
1958-04-03,786740.0,0.0,,17.8,,,,,
1958-04-04,786740.0,1.27,,20.0,,,,,
1958-04-05,820700.0,0.0,,15.0,,,,,
1958-04-06,820700.0,59.44,,18.9,,,,,
1958-04-07,820700.0,0.0,,18.3,,,,,
1958-04-08,854660.0,0.0,,14.4,,,,,
1958-04-09,888620.0,2.03,,14.4,,,,,
1958-04-10,998990.0,60.2,,20.6,,,,,
1958-04-11,1078230.0,0.0,,20.6,,,,,
1958-04-12,1078230.0,0.0,,16.1,,,,,
1958-04-13,1120680.0,0.0,,15.6,,,,,
1958-04-14,1120680.0,0.0,,16.1,,,,,
1958-04-15,1120680.0,50.29,,17.2,,,,,
1958-04-16,1120680.0,1.27,,15.6,,,,,
1958-04-17,1163130.0,0.0,,18.9,,,,,
1958-04-18,1163130.0,0.0,,16.1,,,,,
1958-04-19,1208410.0,0.0,,20.6,,,,,
1958-04-20,1208410.0,0.0,,18.3,,,,,
1958-04-21,1208410.0,0.0,,22.2,,,,,
1958-04-22,1208410.0,4.57,,22.8,,,,,
1958-04-23,1163130.0,0.0,,21.1,,,,,
1958-04-24,1120680.0,0.0,,27.2,,,,,
1958-04-25,1120680.0,0.0,,26.7,,,,,
1958-04-26,1120680.0,0.0,,23.9,,,,,
1958-04-27,1120680.0,0.0,,22.2,,,,,
1958-04-28,1120680.0,0.0,,22.8,,,,,
1958-04-29,1120680.0,9.65,,22.8,,,,,
1958-04-30,1120680.0,0.0,,22.8,,,,,
1958-05-01,1078230.0,0.25,,23.3,,,,,
1958-05-02,1038610.0,0.0,,22.8,,,,,
1958-05-03,962200.0,0.0,,23.3,,,,,
1958-05-04,888620.0,0.0,,22.8,,,,,
1958-05-05,820700.0,0.76,,25.6,,,,,
1958-05-06,755610.0,8.38,,23.3,,,,,
1958-05-07,693350.0,1.02,,18.3,,,,,
1958-05-08,633920.0,0.0,,15.0,,,,,
1958-05-09,580150.0,0.0,,19.4,,,,,
1958-05-10,532040.0,0.0,,21.7,,,,,
1958-05-11,509400.0,6.6,,21.7,,,,,
1958-05-12,464120.0,1.52,,23.3,,,,,
1958-05-13,424500.0,0.0,,21.1,,,,,
1958-05-14,404690.0,0.0,,21.1,,,,,
1958-05-15,387710.0,0.0,,20.0,,,,,
1958-05-16,387710.0,0.0,,21.1,,,,,
1958-05-17,370730.0,0.0,,22.2,,,,,
1958-05-18,356580.0,0.0,,25.0,,,,,
