param#0 	 param#1 	 param#2 	 dist 	  wgt 
5.601853 	2.474735 	5.573733 	0.750636 	0.330353 	
7.322718 	1.233290 	5.484610 	0.717151 	0.065877 	
9.911213 	4.645916 	5.477748 	0.755222 	0.000000 	
4.536007 	2.720647 	5.441914 	0.760753 	0.098484 	
8.070643 	0.445700 	5.483038 	0.743568 	0.078705 	
9.523618 	2.568158 	5.337522 	0.653038 	0.037658 	
9.644420 	1.913878 	5.528689 	0.741705 	0.249963 	
8.297612 	1.176459 	5.477192 	0.681590 	0.071049 	
5.490865 	1.024201 	5.386427 	0.672956 	0.033575 	
6.620489 	2.615935 	5.275189 	0.736791 	0.014646 	
9.520259 	0.463230 	5.477845 	0.673070 	0.109113 	
7.256439 	0.835673 	5.396122 	0.724330 	0.029070 	
7.257671 	1.959415 	5.435528 	0.696563 	0.042847 	
5.657112 	0.891716 	5.293473 	0.630339 	0.015966 	
9.131377 	2.260702 	5.220551 	0.673024 	0.013380 	
7.667993 	2.613679 	5.376624 	0.690930 	0.031596 	
6.197100 	2.213455 	5.430177 	0.741276 	0.042573 	
5.666661 	0.564863 	5.500333 	0.728965 	0.111482 	
6.017959 	2.641845 	5.472619 	0.742299 	0.069312 	
6.850796 	0.511903 	5.360279 	0.679018 	0.023279 	
5.996672 	1.918965 	5.323330 	0.666703 	0.018295 	
6.397886 	0.494034 	5.208411 	0.669788 	0.008379 	
4.793125 	4.620725 	5.179355 	0.729600 	0.000000 	
4.026145 	2.221105 	5.442231 	0.737710 	0.077817 	
12.461612 	1.216737 	5.286731 	0.732898 	0.000000 	
9.652482 	1.871691 	5.387842 	0.701303 	0.053694 	
7.704915 	1.603732 	5.174673 	0.662572 	0.006652 	
8.242444 	1.537501 	5.312109 	0.708539 	0.021648 	
2.245721 	1.470904 	5.281588 	0.695272 	0.043781 	
7.865521 	1.573563 	5.428666 	0.717021 	0.068578 	
3.726746 	2.446994 	5.252735 	0.709127 	0.022616 	
12.369134 	2.264931 	5.398321 	0.654286 	0.000000 	
8.726906 	0.671268 	5.480077 	0.726673 	0.161583 	
9.219554 	1.606243 	5.454839 	0.700618 	0.101888 	
8.260375 	2.820518 	5.479166 	0.718476 	0.192675 	
8.813920 	2.495115 	5.406551 	0.699654 	0.068899 	
5.935507 	2.764406 	5.287668 	0.703721 	0.022377 	
5.951671 	1.537940 	5.211086 	0.668411 	0.009193 	
11.558672 	0.608386 	5.503828 	0.733831 	0.000000 	
6.799685 	3.286064 	5.353782 	0.704744 	0.057852 	
8.381044 	0.836414 	5.288885 	0.687648 	0.021142 	
6.662955 	1.961792 	5.350562 	0.657754 	0.030422 	
6.600690 	2.033261 	5.344937 	0.651445 	0.029121 	
12.941237 	2.284323 	5.488668 	0.698388 	0.000000 	
9.315217 	0.118304 	5.395005 	0.703632 	0.087880 	
9.538986 	1.057737 	5.397839 	0.674058 	0.073906 	
8.387728 	0.224881 	5.241521 	0.585616 	0.019488 	
15.516807 	0.714439 	5.365779 	0.704353 	0.000000 	
4.164392 	2.351318 	5.326814 	0.696994 	0.065369 	
6.846291 	3.227991 	5.373200 	0.702264 	0.072119 	
4.829931 	2.493022 	5.343008 	0.696530 	0.066401 	
6.939973 	2.166233 	5.310932 	0.657253 	0.025945 	
6.378240 	1.567130 	5.237409 	0.625900 	0.013353 	
8.238700 	0.829534 	5.203833 	0.627058 	0.011166 	
5.560541 	0.177913 	5.001661 	0.576072 	0.004302 	
7.335002 	3.442888 	5.348552 	0.657695 	0.055811 	
10.585338 	0.965043 	5.340829 	0.660382 	0.000000 	
8.208574 	1.841092 	5.338068 	0.697879 	0.031520 	
8.671596 	1.591566 	5.469557 	0.707623 	0.177179 	
8.099497 	1.141244 	5.399953 	0.700456 	0.070788 	
6.753374 	3.041680 	5.276972 	0.672896 	0.022262 	
6.504391 	1.522111 	5.463393 	0.701351 	0.219955 	
11.816993 	4.440462 	5.287736 	0.681109 	0.000000 	
6.758987 	0.410947 	5.346054 	0.671017 	0.058409 	
3.286102 	2.568878 	5.180539 	0.673277 	0.012028 	
10.439143 	4.306691 	5.194793 	0.655289 	0.000000 	
6.800601 	0.916808 	5.389254 	0.698253 	0.098623 	
6.822347 	1.090777 	5.271678 	0.641632 	0.022443 	
10.725294 	3.083660 	5.211257 	0.642960 	0.000000 	
7.368803 	1.087592 	5.401433 	0.663939 	0.106424 	
8.011669 	0.025321 	5.361319 	0.661777 	0.110681 	
3.461963 	0.864291 	5.078000 	0.648661 	0.007951 	
8.313328 	3.713947 	5.325303 	0.695277 	0.085541 	
6.514601 	0.842525 	5.201571 	0.673806 	0.012271 	
3.353808 	0.496994 	5.224372 	0.597047 	0.048555 	
7.401983 	3.008618 	5.294639 	0.643212 	0.033047 	
7.038497 	0.219395 	5.299774 	0.631358 	0.045671 	
5.358072 	0.724807 	5.106716 	0.698256 	0.006411 	
7.171741 	0.895832 	5.390920 	0.691164 	0.098813 	
7.836487 	1.615399 	5.399447 	0.670317 	0.097125 	
3.537436 	0.533014 	5.265955 	0.606950 	0.069292 	
8.681536 	0.438142 	5.293032 	0.672323 	0.039966 	
8.448136 	2.608410 	5.247457 	0.648077 	0.020428 	
7.795409 	2.074319 	5.268371 	0.690754 	0.020282 	
4.454647 	0.150050 	5.284292 	0.604942 	0.076477 	
3.961271 	1.523393 	5.242941 	0.649589 	0.033460 	
5.866513 	2.629348 	5.097289 	0.670897 	0.010212 	
8.089829 	0.844235 	5.415168 	0.622121 	0.278442 	
5.302555 	0.038137 	5.352455 	0.649022 	0.128116 	
9.893997 	0.564385 	5.197720 	0.617871 	0.029096 	
9.261784 	4.717494 	5.256168 	0.669492 	0.000000 	
9.514305 	2.830548 	5.228292 	0.659008 	0.040285 	
5.684306 	0.569694 	5.255877 	0.610410 	0.026620 	
5.784767 	0.193138 	5.169903 	0.567593 	0.010896 	
9.161779 	1.644497 	5.299374 	0.671544 	0.060977 	
11.323002 	1.676570 	5.332687 	0.635303 	0.000000 	
4.476309 	0.628334 	5.352127 	0.658883 	0.145049 	
8.533816 	0.167032 	5.249901 	0.604859 	0.031629 	
7.786709 	0.960212 	5.326832 	0.654753 	0.063525 	
6.678626 	1.226804 	5.218595 	0.612448 	0.017363 	
6.417714 	1.960275 	5.226826 	0.659664 	0.022126 	
12.233130 	2.186518 	5.256833 	0.664961 	0.000000 	
3.935654 	0.213265 	5.098437 	0.564318 	0.005750 	
6.313065 	2.430175 	5.316572 	0.658447 	0.079410 	
4.869056 	1.311610 	5.206950 	0.667504 	0.017042 	
4.614924 	0.673568 	5.271306 	0.626488 	0.055553 	
6.872892 	1.528008 	5.315678 	0.616869 	0.098276 	
11.257055 	3.306241 	5.230617 	0.660352 	0.000000 	
7.130512 	0.714775 	5.303623 	0.625290 	0.074419 	
5.387841 	0.397417 	5.128159 	0.569520 	0.009197 	
5.002338 	0.627421 	5.146046 	0.574536 	0.010997 	
12.774833 	1.414040 	5.249013 	0.618423 	0.000000 	
9.875299 	0.682245 	5.330062 	0.634913 	0.173483 	
10.650341 	0.892515 	5.228117 	0.631826 	0.000000 	
6.606937 	0.741936 	5.260625 	0.655251 	0.040113 	
