DateTime,Newman_Discharge,Fremont_Discharge,Merced_Discharge,SanJoaquin_Precipitation,SanJoaquin_AirTemperature,SanJoaquin_SolarRadiation,SanJoaquin_RelativeHumidity,SanJoaquin_WindDirection,SanJoaquin_WindSpeed,SanJoaquin_SoilMoisture_30cmP1,SanJoaquin_SoilMoisture_30cmP2,SanJoaquin_SoilMoisture_30cmP3,SanJoaquin_SoilMoisture_30cmP4,SanJoaquin_SoilTemperature_10cm,SanJoaquin_SoilTemperature_50cm,SanJoaquin_SoilTemperature_100cm,SanJoaquin_SoilTemperature_200cm
2016-08-25,2514.53184,1931.20576,2194.552,0.0,26.59150541666667,283.17897397916664,24.68713875000001,142.5457543125,2.599933866666667,2.7270833333333337,2.8104166666666663,1.4291666666666667,4.072916666666667,28.986875,27.12145833333333,26.6075,25.36125
2016-08-26,2285.165760000001,1843.42368,2033.14624,0.0,24.35028708333333,285.03679406249995,35.67021833333333,148.35711179791667,1.9818807410416668,2.725,2.8,1.4395833333333332,4.052083333333333,28.66395833333333,27.03020833333333,26.54083333333333,25.349791666666665
2016-08-27,2237.0272,1732.98816,1976.51264,0.0,25.72194041666667,284.0264693958333,35.14607395833333,151.05126833333333,2.26418246875,2.7229166666666664,2.7979166666666666,1.4604166666666667,4.05625,28.43104166666667,26.89416666666667,26.445833333333336,25.320833333333336
2016-08-28,2188.88864,1633.87936,1908.55232,0.0,27.167216041666666,286.5519305208333,31.116953125,140.182699375,2.422488466666667,2.7229166666666664,2.791666666666666,1.49375,4.106249999999998,28.51479166666667,26.78333333333333,26.351875,25.285625
2016-08-29,2052.968,1611.22592,1772.6316800000006,0.0,27.88917270833333,282.99762533333336,28.597821458333332,148.89538812499995,2.1181327583333336,2.729166666666667,2.7520833333333328,1.5,4.122916666666667,28.68770833333333,26.731875,26.30020833333333,25.26041666666667
2016-08-30,2081.2848,1684.8496,1840.592,0.0,27.599405,279.99701422916667,23.50241041666667,161.80019916666666,2.15311815625,2.720833333333333,2.7375,1.5,4.116666666666666,28.66583333333333,26.716875,26.27437500000001,25.2375
2016-08-31,2293.6608,1871.74048,2038.8096,0.0,25.780895625,287.8164934166667,31.441488125,163.69705783333333,2.3746680375,2.7125,2.7125,1.5,4.1083333333333325,28.61395833333333,26.71958333333333,26.271874999999994,25.226041666666664
2016-09-01,2364.4528,1834.9286399999999,2061.46304,0.0,26.04392979166667,288.0286698125,28.65797104166667,159.47271575000005,2.7760244499999995,2.6979166666666665,2.70625,1.5,4.102083333333333,28.384374999999995,26.70166666666667,26.261875000000003,25.223541666666666
2016-09-02,2381.44288,1840.592,2061.46304,0.0,25.23152270833333,230.89025633333333,28.42880229166667,151.57693442500005,2.473442272916667,2.7,2.7,1.5104166666666667,4.095833333333332,28.24291666666667,26.67166666666667,26.255625,25.241041666666664
2016-09-03,2205.87872,1781.12672,1939.7008,0.0,18.9851775,295.6027920625,47.86244833333333,171.93002625,1.796213229375,2.660416666666667,2.654166666666667,1.5145833333333332,4.054166666666666,27.254791666666666,26.61333333333333,26.21020833333333,25.21875
2016-09-04,2177.56192,1648.0377600000006,1900.05728,0.0,20.09182625,284.34732172916665,33.67367708333333,158.3740565208334,2.527916229166667,2.6270833333333337,2.625,1.5166666666666666,4.043749999999998,26.25208333333333,26.395,26.08958333333333,25.194791666666664
2016-09-05,2171.89856,1585.7408,1885.89888,0.0,23.478771875,278.7337797083333,33.13977708333333,157.31216625000005,2.4715857020833334,2.635416666666667,2.6187500000000004,1.5333333333333332,4.05,26.27625,26.09,25.87458333333333,25.130625
2016-09-06,2135.08672,1628.2160000000001,1826.4336,0.0,26.49319958333333,277.98760469166666,23.017708125,139.72011604166667,2.6847955395833334,2.6479166666666663,2.6187500000000004,1.5645833333333334,4.08125,26.693541666666665,25.89625,25.69125,25.04291666666667
2016-09-07,2208.7104,1682.01792,1849.08704,0.0,27.61144604166667,272.3976317916667,21.03396625,144.2740349375,2.659750395833333,2.6479166666666663,2.6166666666666667,1.5770833333333334,4.089583333333334,27.16583333333333,25.845625,25.60875,24.97520833333333
2016-09-08,2194.552,1599.8992,1846.25536,0.0,26.96593354166667,264.02796098958333,26.878228333333336,158.00915166666667,2.51038603125,2.654166666666667,2.60625,1.575,4.093749999999999,27.502916666666664,25.88875,25.605625,24.93208333333334
2016-09-09,1897.2256,1274.256,1588.57248,0.0,28.057272916666665,257.86007225,28.25630875,139.59330275,2.4667892083333336,2.6625,2.6083333333333334,1.5875,4.104166666666666,27.787291666666665,25.94395833333333,25.632291666666664,24.910625
2016-09-10,1648.0377600000006,1163.82048,1384.69152,0.0,28.22404645833333,256.16665945208337,28.181453125000004,146.60810858333338,2.0990590383333334,2.6708333333333334,2.6083333333333334,1.59375,4.122916666666666,28.21979166666667,26.037291666666665,25.68604166666667,24.911666666666665
2016-09-11,1500.7904,1070.37504,1217.6224,0.0,25.181404375,265.6482591041667,28.35192208333333,144.95481533333339,2.3797235354166664,2.6437500000000003,2.6,1.575,4.1125,27.994375,26.159166666666664,25.76958333333333,24.925
2016-09-12,1480.96864,1234.61248,1200.63232,0.0,16.2262120625,269.71754508333333,52.20884979166666,238.9795634375,2.132618958333333,2.625,2.5854166666666667,1.5520833333333333,4.058333333333334,26.95520833333333,26.210625000000004,25.83083333333333,24.954166666666666
2016-09-13,1605.56256,1424.33504,1296.90944,0.0,17.614308333333334,265.4129080833333,42.23070166666667,124.99689229166664,2.4540402791666667,2.6208333333333336,2.55,1.5375,4.035416666666666,25.47458333333333,26.016666666666666,25.753125,24.954583333333336
2016-09-14,1752.80992,1554.59232,1415.84,0.0,20.75830125,265.08754664583336,36.24442583333335,156.38617645833332,2.5052486333333337,2.6208333333333336,2.533333333333333,1.6708333333333336,4.041666666666666,25.14375,25.670625,25.52729166666667,24.90875
2016-09-15,1874.5721600000002,1631.0476800000001,1472.4736,0.0,23.524932500000002,260.59531914583334,27.78507083333333,153.5203879625,2.621555772916667,2.6208333333333336,2.5375,1.7187500000000002,4.043749999999998,25.378125,25.402500000000003,25.303125,24.82604166666667
2016-09-16,1854.7504,1625.38432,1483.8003199999996,0.0,25.99345916666667,256.6167373125,23.74915,142.378820625,2.4673182062500003,2.6229166666666663,2.5375,1.7416666666666667,4.066666666666666,25.771041666666665,25.267916666666668,25.16,24.73979166666666
2016-09-17,1732.98816,1563.0873600000002,1393.18656,0.0,28.163194583333336,239.431182875,21.89607916666667,130.79553625000003,2.6201404375,2.6270833333333337,2.5416666666666665,1.7604166666666667,4.085416666666666,26.383333333333336,25.23354166666667,25.08979166666667,24.66854166666667
2016-09-18,2018.98784,1574.41408,1582.90912,0.0,30.01756083333333,252.649749125,17.404375625,120.17883145833332,3.144634116666667,2.629166666666667,2.533333333333333,1.775,4.097916666666666,26.99958333333333,25.30625,25.100416666666664,24.617500000000003
2016-09-19,2237.0272,1529.1072,1721.6614399999999,0.0,29.005591875000004,235.75223557708333,19.723945416666666,146.39106864583334,2.0664301645833336,2.629166666666667,2.5479166666666666,1.7770833333333336,4.102083333333333,27.58166666666667,25.458541666666665,25.18770833333333,24.616666666666664
2016-09-20,2163.4035200000008,1463.97856,1659.3644800000006,0.0,25.98289354166667,147.85188336041662,26.32129979166667,145.698572875,2.1448702166666664,2.6187500000000004,2.5104166666666665,1.7812500000000002,4.095833333333332,27.59708333333333,25.65041666666666,25.32875,24.659375
2016-09-21,2443.73984,1574.41408,1897.2256,0.0,16.992020416666666,245.48843794166663,38.305739375,261.79780064104165,2.485244016666667,2.5791666666666666,2.4916666666666667,1.7270833333333335,4.0375000000000005,26.03916666666667,25.76458333333333,25.423541666666665,24.67270833333333
2016-09-22,2690.0959999999995,1667.85952,2089.77984,0.0,16.574054375,247.0607328352084,39.97633208333333,171.2827052708334,2.6588895437500004,2.558333333333333,2.470833333333333,1.7145833333333336,4.01875,24.56645833333333,25.548541666666665,25.346875,24.689791666666665
2016-09-23,2463.5616,1421.5033600000006,1962.35424,0.0,20.180422083333333,247.7498532,30.16549250000001,131.46983395833334,2.5833423541666667,2.5645833333333328,2.4520833333333334,1.7229166666666669,4.029166666666666,24.156875,25.173125,25.10625,24.64375
2016-09-24,2222.8688,1285.5827199999999,1783.9584,0.0,24.75286854166667,244.43350022916667,23.919347916666666,115.63172625,2.1985289166666666,2.6020833333333337,2.4645833333333327,1.7416666666666667,4.033333333333333,24.56833333333333,24.86729166666667,24.85354166666667,24.54854166666667
2016-09-25,2024.6512,1279.91936,1656.5328,0.0,27.724192291666665,238.71503631875,18.548663750000006,132.90452729166665,2.892180064583333,2.6166666666666667,2.4937500000000004,1.7625000000000002,4.05,25.46958333333333,24.744375,24.7025,24.45208333333333
2016-09-26,2183.22528,1506.45376,1744.3148800000001,0.0,28.20876375000001,231.75646325,18.48498229166667,116.44862958333331,2.8358902020833336,2.6166666666666667,2.495833333333333,1.7708333333333337,4.06875,26.12562500000001,24.81166666666667,24.692291666666666,24.389166666666664
