param#0 	 param#1 	 param#2 	 param#3 	 param#4 	 param#5 	 param#6 	 param#7 	 dist 	  wgt 
0.031723 	0.041704 	1.639923 	0.340501 	1.905029 	3.480007 	-0.622453 	0.226428 	3.190086 	0.000000 	
0.324774 	-0.043056 	0.746558 	0.118595 	1.652264 	3.151177 	0.420423 	0.183833 	4.668654 	0.000000 	
0.120898 	0.632584 	1.876297 	0.020098 	0.261838 	2.411499 	0.478030 	0.067563 	3.319465 	0.000000 	
0.003460 	0.384233 	0.860235 	0.291919 	1.356503 	2.528310 	0.605479 	0.044345 	4.545250 	0.000000 	
0.061526 	0.253796 	1.271464 	0.475953 	0.998532 	2.211003 	-0.036030 	0.063266 	2.803790 	0.000000 	
0.048647 	0.412232 	1.275343 	0.117136 	1.521878 	4.521053 	0.231723 	0.176020 	2.878360 	0.181113 	
0.092158 	-0.023733 	1.778047 	0.214913 	1.428357 	3.465352 	0.433683 	0.018123 	1.814714 	0.000000 	
0.010598 	0.051040 	1.359065 	0.134430 	2.880129 	4.978657 	0.154330 	0.096011 	3.711343 	0.000000 	
0.162005 	0.013482 	1.636684 	0.127062 	0.198880 	2.638400 	0.397040 	-0.036645 	1.867171 	0.000000 	
0.071134 	0.340448 	2.253828 	0.349417 	1.443101 	2.981230 	0.331760 	-0.035077 	3.856766 	0.000000 	
0.052951 	0.394547 	1.462287 	0.079097 	1.119538 	4.468790 	-0.495164 	-0.047846 	1.532860 	0.000000 	
0.106845 	0.456397 	2.278456 	0.020904 	2.064297 	3.446257 	0.211138 	0.274925 	3.919381 	0.000000 	
0.028750 	0.505990 	1.026235 	0.047400 	2.041694 	5.254691 	-0.115907 	0.107164 	2.695224 	0.000000 	
0.057620 	0.106174 	1.877135 	0.072098 	2.454550 	5.662758 	-0.249724 	-0.081728 	2.332782 	0.000000 	
0.015744 	0.501732 	1.429177 	0.240580 	1.394747 	3.307981 	-0.473078 	0.066070 	3.396270 	0.000000 	
0.026121 	0.490007 	1.764905 	0.220263 	1.301388 	2.110980 	1.146376 	0.064255 	2.171549 	0.000000 	
0.160105 	0.059487 	1.060416 	0.112235 	1.426062 	3.930362 	0.527687 	0.057818 	3.514416 	0.274229 	
0.088113 	0.299913 	0.891728 	0.147108 	1.002514 	2.376881 	0.279612 	0.095016 	2.591813 	0.000000 	
0.020305 	-0.052867 	1.561647 	0.407294 	1.735422 	2.789348 	0.164682 	0.201355 	3.483355 	0.000000 	
0.143016 	-0.104407 	0.644383 	0.025330 	1.489606 	2.760959 	0.724334 	0.105173 	3.374863 	0.000000 	
0.127212 	0.336471 	1.893094 	0.021138 	0.357937 	3.039238 	0.454299 	0.094235 	4.223879 	0.000000 	
0.013396 	-0.038048 	1.351801 	0.142581 	0.927661 	2.300348 	0.612521 	0.021084 	4.209303 	0.000000 	
0.051000 	-0.584708 	1.065613 	0.308274 	2.321711 	3.565608 	0.872216 	0.036232 	1.721734 	0.000000 	
0.055735 	0.316800 	1.314441 	0.100912 	1.810987 	3.982710 	-0.188493 	0.174325 	2.525374 	0.000000 	
0.093432 	-0.165244 	1.207904 	0.121742 	1.434776 	4.229860 	-0.365661 	0.030487 	1.587433 	0.000000 	
0.063377 	0.189298 	1.097857 	0.087477 	1.887344 	3.993700 	-0.057739 	0.159402 	2.628064 	0.000000 	
0.070098 	0.040685 	0.851087 	0.118818 	0.574438 	2.703927 	0.185000 	0.051034 	2.730301 	0.000000 	
0.104288 	-0.000986 	1.218245 	0.104982 	2.855925 	3.679564 	0.704206 	-0.032549 	2.595860 	0.000000 	
0.122161 	0.236073 	0.840272 	0.095663 	1.297766 	2.609955 	0.273409 	0.093807 	3.726823 	0.000000 	
0.055946 	0.400294 	1.109135 	0.104325 	0.714090 	2.015841 	-0.441646 	0.183474 	3.013688 	0.000000 	
0.151187 	-0.121505 	1.134881 	0.115747 	1.358474 	1.243233 	-0.659732 	-0.003133 	2.001636 	0.000000 	
0.108642 	0.158788 	1.233295 	0.112742 	1.213369 	2.374234 	0.290943 	0.092569 	1.706962 	0.000000 	
0.040537 	-0.016166 	1.492474 	0.106422 	2.346470 	1.590021 	-0.458965 	0.252557 	3.582720 	0.000000 	
0.087022 	-0.015073 	1.306381 	0.116229 	1.015157 	4.878954 	-0.049357 	0.245551 	3.738582 	0.000000 	
0.155232 	0.059668 	1.325556 	0.085733 	0.582040 	4.058975 	-0.165833 	0.182571 	2.602591 	0.000000 	
0.031400 	0.092102 	1.233761 	0.102350 	1.234231 	3.267920 	0.395550 	0.144986 	3.492478 	0.057002 	
0.199868 	-0.020859 	1.499105 	0.101387 	1.511808 	3.723061 	0.075055 	0.139542 	1.964658 	0.000000 	
0.110057 	-0.073418 	1.133282 	0.111970 	2.344331 	3.417945 	0.629156 	0.118049 	2.598060 	0.000000 	
0.105727 	0.177448 	1.332473 	0.102922 	0.868562 	2.898113 	-0.101957 	0.203790 	2.975279 	0.000000 	
0.037188 	0.154047 	1.278856 	0.119889 	1.984685 	4.608240 	-0.503906 	0.226120 	3.165347 	0.000000 	
0.129091 	0.331497 	1.455124 	0.103123 	1.714906 	3.103823 	-0.386798 	0.072893 	3.049173 	0.000000 	
0.129429 	-0.271394 	1.017803 	0.126513 	0.499484 	2.212055 	0.126471 	0.025041 	1.961587 	0.000000 	
0.150309 	-0.234863 	1.108939 	0.116971 	0.926996 	2.924540 	0.554753 	0.064022 	1.641927 	0.000000 	
0.065619 	0.121399 	1.430332 	0.106768 	0.564967 	2.722955 	0.345900 	0.199654 	3.733089 	0.000000 	
0.123267 	0.310010 	1.133840 	0.131836 	0.522237 	3.385901 	0.223252 	0.009888 	1.495092 	0.043187 	
0.172483 	0.000995 	0.996483 	0.114593 	1.757730 	3.807651 	0.286764 	0.108237 	2.882460 	0.020700 	
0.129666 	-0.228273 	1.338281 	0.110734 	1.481282 	3.584400 	0.191107 	0.206719 	3.048228 	0.000000 	
0.161490 	0.329645 	1.378322 	0.120491 	0.733899 	3.301838 	-0.153553 	0.170826 	3.467930 	0.000000 	
0.117138 	-0.009395 	1.315197 	0.098245 	1.254721 	1.393268 	0.326332 	0.315877 	3.578287 	0.000000 	
0.170599 	0.122094 	1.117500 	0.129696 	0.818961 	2.080995 	0.239702 	0.144436 	2.586354 	0.000000 	
0.167092 	-0.287410 	1.067781 	0.116136 	0.786799 	2.737990 	0.170023 	0.103270 	1.854812 	0.000000 	
0.138745 	0.316548 	1.448166 	0.111501 	0.758946 	3.045837 	-1.085920 	0.019581 	1.651168 	0.000000 	
0.082562 	-0.204453 	1.225716 	0.104924 	1.184501 	1.212174 	-0.532108 	0.113883 	3.415323 	0.000000 	
0.125853 	0.145593 	1.089838 	0.127659 	2.275198 	3.890764 	0.186377 	0.260156 	3.785162 	0.000000 	
0.044270 	0.114433 	1.390380 	0.118696 	1.394441 	2.571274 	-0.050673 	0.216054 	3.497447 	0.000000 	
0.123704 	-0.012982 	1.131267 	0.119645 	0.749577 	3.186223 	-0.175709 	0.017726 	1.443987 	0.000000 	
0.148170 	0.170195 	1.465728 	0.108095 	1.731706 	3.689986 	-0.287052 	0.150124 	2.034767 	0.000000 	
