param#0 	 param#1 	 param#2 	 param#3 	 param#4 	 param#5 	 dist 	  wgt 
1.657986 	9.752400 	29660.169212 	0.004342 	0.004371 	0.000006 	1.769559 	0.010000 	
1.387351 	-2.040673 	24166.348796 	0.000629 	0.003616 	0.000003 	1.161500 	0.000000 	
2.654957 	-0.132157 	29930.086090 	0.002702 	0.002142 	0.000003 	1.687488 	0.000000 	
1.792283 	0.103017 	30814.673289 	0.004404 	0.007104 	0.000002 	1.938018 	0.000000 	
0.821901 	14.512078 	28201.913761 	0.003560 	0.008507 	0.000017 	1.997028 	0.000000 	
1.294741 	9.406090 	27462.004737 	0.006722 	0.000485 	0.000003 	1.610754 	0.000000 	
1.382365 	11.338468 	30435.325439 	0.000637 	0.001142 	0.000006 	2.010128 	0.000000 	
1.377321 	-0.733377 	27954.885635 	0.003580 	0.001130 	0.000015 	1.614531 	0.000000 	
2.058816 	6.381679 	27919.284081 	0.004560 	0.003546 	0.000003 	1.621323 	0.000000 	
0.474836 	2.362839 	26447.001212 	0.005737 	0.002924 	0.000000 	1.877335 	0.000000 	
2.971591 	2.996404 	28272.919026 	0.001696 	0.002135 	0.000004 	1.586799 	0.000000 	
1.197998 	0.491786 	26345.550873 	0.001283 	0.004854 	0.000010 	1.494584 	0.000000 	
1.252053 	5.289614 	28539.533568 	0.002521 	0.004781 	0.000009 	1.727342 	0.045462 	
1.178214 	6.175297 	24695.391714 	0.000104 	0.005910 	0.000002 	1.209487 	0.000000 	
1.487835 	9.050883 	26904.014937 	0.004119 	0.000351 	0.000008 	1.579295 	0.056804 	
2.307647 	3.507056 	30147.320971 	0.005738 	0.004518 	0.000005 	1.847351 	0.000000 	
0.554495 	11.408976 	20418.640693 	0.007347 	0.004199 	0.000008 	0.941199 	0.000000 	
1.535977 	0.626610 	30140.127551 	0.003350 	0.001095 	0.000011 	1.918567 	0.000000 	
1.733857 	5.234784 	27077.112872 	0.003184 	0.004711 	0.000007 	1.596796 	0.050120 	
1.165805 	7.522149 	22977.999723 	0.000986 	0.006180 	0.000002 	1.051118 	0.000000 	
1.266087 	-1.351764 	20837.144485 	0.000491 	0.003804 	0.000006 	0.866209 	0.000000 	
0.669028 	9.601500 	28537.223647 	0.002386 	0.004273 	0.000004 	1.975110 	0.069307 	
1.705706 	1.733545 	28764.180373 	0.003453 	0.000978 	0.000004 	1.739626 	0.065680 	
3.037798 	4.950594 	28401.215224 	0.005189 	0.006956 	0.000003 	1.510944 	0.000000 	
2.340595 	5.971947 	31312.126815 	0.000425 	0.003667 	0.000007 	1.961900 	0.000000 	
0.630486 	-1.441369 	27369.328849 	0.001957 	0.002050 	0.000017 	1.935421 	0.000000 	
1.633236 	14.347493 	26747.559444 	0.001246 	0.002229 	0.000005 	1.442656 	0.000000 	
1.837982 	7.992271 	26895.740649 	0.002195 	0.002023 	0.000005 	1.495762 	0.060115 	
1.360236 	7.378593 	27334.705406 	0.008031 	0.004322 	0.000007 	1.610290 	0.000000 	
2.179837 	16.155513 	27196.490858 	0.004490 	0.002504 	0.000002 	1.389927 	0.000000 	
0.637912 	6.743128 	25765.052410 	0.005367 	0.006265 	0.000010 	1.662962 	0.000000 	
0.794205 	3.807314 	28549.610576 	0.004517 	0.001046 	0.000009 	1.929482 	0.045568 	
1.253932 	-1.018341 	25468.363697 	0.001811 	0.006213 	0.000004 	1.342631 	0.000000 	
1.692598 	8.417827 	28821.187754 	0.000809 	0.007504 	0.000005 	1.722661 	0.000000 	
0.348895 	3.372723 	24411.562581 	0.005092 	0.002666 	0.000017 	1.768373 	0.000000 	
1.709191 	2.916694 	20543.515077 	0.002095 	0.002953 	0.000012 	0.870425 	0.000000 	
1.441611 	16.317333 	23943.075274 	0.003863 	0.004018 	0.000011 	1.137083 	0.000000 	
2.085440 	-2.441506 	20817.982633 	0.005531 	0.003398 	0.000010 	0.915977 	0.000000 	
1.881720 	-2.676001 	26810.653313 	0.001682 	0.001344 	0.000003 	1.418646 	0.000000 	
3.345172 	7.771521 	25838.984743 	0.003224 	0.001418 	0.000002 	1.345551 	0.000000 	
0.808332 	5.615834 	27528.028977 	0.004169 	0.004276 	0.000000 	1.785088 	0.043150 	
1.324251 	11.107261 	27544.045594 	0.002682 	0.001287 	0.000007 	1.661589 	0.000000 	
1.177907 	6.240267 	29006.961340 	0.001714 	0.005061 	0.000000 	1.876588 	0.000000 	
1.069063 	0.937062 	29074.097975 	0.004493 	0.004126 	0.000003 	1.844571 	0.056544 	
1.218083 	11.792945 	28284.007244 	0.002660 	0.002131 	0.000000 	1.747992 	0.000000 	
2.724199 	-1.063035 	24823.364935 	0.004294 	0.005355 	0.000000 	1.178694 	0.000000 	
2.345946 	15.834249 	28535.097580 	0.005462 	0.000281 	0.000002 	1.590903 	0.000000 	
1.466805 	8.455944 	21612.225675 	0.002378 	0.004452 	0.000008 	0.932307 	0.002564 	
2.938880 	8.648430 	26029.525684 	0.001395 	0.004961 	0.000007 	1.362343 	0.000000 	
2.127033 	3.177592 	30695.685484 	0.004415 	0.004932 	0.000011 	1.763532 	0.000000 	
2.309354 	2.345863 	27314.913406 	0.004376 	0.003439 	0.000010 	1.618460 	0.000000 	
1.836224 	4.957534 	27494.919527 	0.009087 	0.008570 	0.000006 	1.617307 	0.000000 	
0.905599 	-0.244441 	27524.888495 	0.001731 	0.005522 	0.000005 	1.769760 	0.000000 	
0.545713 	-3.665811 	22556.078143 	0.003831 	0.004078 	0.000002 	1.173152 	0.000000 	
1.371730 	4.571682 	27148.990808 	0.001936 	0.006239 	0.000009 	1.499471 	0.000000 	
1.325348 	10.507482 	26635.565367 	0.001050 	0.001963 	0.000005 	1.455376 	0.000000 	
