DateTime,Dwnstr_Discharge,Upstr_Discharge,CMR_Precipitation,CMR_AirTemperature_1m,CMR_AirTemperature_2m,CMR_SolarRadiation,CMR_RelativeHumidity_1m,CMR_RelativeHumidity_2m,CMR_WindDirection,CMR_WindSpeed,CMR_SnowDepth,CMR_SoilMoisture_10cm,CMR_SoilMoisture_20cm,CMR_SoilMoisture_40cm,CMR_SoilTemperature_2cm,CMR_SoilTemperature_5cm,CMR_SoilTemperature_10cm,CMR_SoilTemperature_15cm,CMR_SoilTemperature_20cm,CMR_SoilTemperature_30cm,CMR_SoilTemperature_40cm,CMR_SoilTemperature_50cm,CMR_SoilTemperature_75cm,CMR_SoilTemperature_100cm,CMR_SoilTemperature_125cm
2016-08-03,14171.25,14751.458333333332,5.8,9.135375,9.095958333333334,44.36779166666667,96.45625,95.60208333333334,178.83249999999995,1.2706666666666666,,19.058333333333334,20.904166666666665,17.616666666666667,10.679583333333332,10.587916666666667,10.342916666666667,10.116666666666667,9.877916666666666,9.529166666666667,8.745416666666666,8.219999999999999,6.973625000000001,6.230541666666667,5.59425
2016-08-04,14140.416666666664,14814.895833333332,0.1,11.193833333333332,11.252791666666667,89.42858333333334,74.7972916666667,73.66874999999997,77.95791666666669,5.191125,,19.191666666666666,21.066666666666666,17.666666666666668,10.012083333333337,9.96625,9.757083333333334,9.5875,9.407916666666667,9.206666666666667,8.539166666666668,8.117916666666666,6.971916666666668,6.241166666666667,5.602166666666666
2016-08-05,14715.416666666668,15314.6875,0.1,13.693333333333333,13.667083333333327,144.82304545454545,68.74208333333333,66.69229166666668,207.680875,1.9580833333333327,,19.0375,20.854166666666664,17.525,11.445833333333335,10.933749999999998,10.385416666666666,9.89125,9.54,9.130416666666667,8.407916666666667,7.9860000000000015,6.913833333333333,6.2228749999999975,5.603416666666668
2016-08-06,15853.229166666664,16136.145833333336,0.0,14.713750000000005,14.634166666666665,129.57863636363635,62.36645833333333,60.77270833333333,51.49999999999998,11.774208333333332,,18.7875,20.58333333333333,17.225,11.265,11.085416666666667,10.740833333333333,10.39625,10.074166666666667,9.590416666666668,8.733333333333334,8.167083333333332,6.922666666666667,6.211541666666666,5.6003333333333325
2016-08-07,17545.104166666664,17535.937500000004,0.2,13.835833333333332,13.901666666666667,55.80230434782607,58.059791666666676,55.78729166666667,44.25708333333333,11.333375000000002,,18.529166666666665,20.241666666666667,16.85833333333333,10.372083333333334,10.339166666666666,10.120833333333334,9.935,9.724166666666667,9.443333333333333,8.707916666666666,8.219166666666668,6.985708333333332,6.245625,5.618708333333332
2016-08-08,18928.854166666668,18774.89583333333,0.0,13.869583333333333,13.625,99.98494117647058,53.71291666666666,52.59395833333333,47.29583333333335,10.706666666666667,,18.254166666666674,19.925,16.508333333333333,10.694166666666666,10.513333333333334,10.152916666666668,9.826666666666666,9.5575,9.242083333333332,8.53875,8.104583333333332,6.979583333333332,6.265541666666668,5.642166666666667
2016-08-09,18032.70833333333,16775.0,5.999999999999999,9.223833333333333,9.275125,96.40762499999998,88.45770833333331,87.69208333333334,173.22291666666672,2.8231666666666664,,18.2125,19.8,16.229166666666668,10.311666666666667,10.240416666666668,9.987083333333333,9.767083333333332,9.545833333333333,9.269166666666663,8.5525,8.10375,6.963874999999999,6.2644166666666665,5.6574583333333335
2016-08-10,16702.604166666668,15033.4375,0.9,11.04175,10.984916666666667,91.72542105263157,64.90458333333335,62.77479166666666,175.51227272727272,2.3900833333333336,,18.35,20.0125,16.3,10.790416666666667,10.557083333333333,10.151666666666666,9.77,9.475833333333334,9.14,8.439166666666667,8.02725,6.950333333333332,6.268249999999999,5.669208333333333
2016-08-11,15432.187499999998,14323.645833333332,0.0,11.360083333333336,11.365458333333335,93.4328,59.69250000000002,57.54437499999998,75.43375000000002,5.507249999999999,,18.225,19.83333333333333,16.22083333333333,10.046791666666666,10.055416666666668,9.837083333333334,9.63625,9.426666666666666,9.162916666666666,8.46,8.027708333333333,6.930875,6.259333333333332,5.672499999999999
2016-08-12,15326.458333333336,14829.374999999998,0.0,11.545833333333334,11.598333333333334,59.22516666666667,60.30541666666666,58.15666666666666,50.13333333333332,7.709583333333335,,18.054166666666667,19.641666666666666,16.054166666666667,9.27,9.373333333333333,9.2575,9.183333333333332,9.060416666666667,8.93125,8.307916666666666,7.9316666666666675,6.8995000000000015,6.2445416666666675,5.680583333333333
2016-08-13,18523.64583333333,16663.4375,0.0,14.502500000000005,14.246250000000002,93.41715789473685,48.82291666666666,47.605625,44.46695652173913,8.534041666666667,,17.879166666666674,19.416666666666668,15.791666666666664,10.080833333333333,9.86625,9.489583333333334,9.1675,8.920416666666666,8.687083333333334,8.073625,7.74875,6.829458333333332,6.215958333333332,5.671875
2016-08-14,16832.291666666668,15328.75,0.0,12.90375,12.892916666666665,77.8794347826087,52.39895833333333,50.66104166666666,36.80586956521738,7.6003333333333325,,17.629166666666666,19.15,15.570833333333333,9.640833333333333,9.628333333333334,9.425,9.25875,9.069583333333334,8.846666666666668,8.1725,7.778833333333334,6.783083333333333,6.180958333333334,5.651625
2016-08-15,15248.333333333336,14596.145833333332,0.0,12.531249999999998,12.388333333333335,105.8691052631579,49.00895833333334,47.73833333333334,39.44291666666667,9.577541666666667,,17.4125,18.908333333333328,15.333333333333332,9.47125,9.444583333333332,9.201666666666666,9.011666666666667,8.825833333333334,8.655,8.044958333333334,7.702583333333332,6.763749999999999,6.170041666666667,5.64075
2016-08-16,13770.833333333336,14021.041666666668,0.0,12.494166666666665,12.284583333333332,101.25357894736842,50.47333333333333,49.25812499999999,55.49916666666667,6.491708333333335,,17.137500000000006,18.654166666666672,15.1,9.954166666666666,9.801666666666668,9.444583333333332,9.135,8.8825,8.622916666666667,7.9831666666666665,7.635249999999999,6.720624999999999,6.145833333333332,5.634583333333333
2016-08-17,13631.562500000002,14069.374999999998,0.0,12.972500000000002,12.742083333333332,93.0233529411765,49.44062499999999,48.24520833333332,45.36916666666667,8.725416666666666,,16.92083333333333,18.404166666666665,14.845833333333335,9.917083333333332,9.82375,9.50625,9.227083333333333,8.978333333333332,8.689583333333333,8.026083333333332,7.645833333333332,6.6957916666666675,6.120333333333334,5.620708333333333
2016-08-18,13003.958333333332,13685.208333333336,0.0,12.475541666666665,12.289875,118.87004761904758,52.60999999999999,51.33791666666667,96.22179166666668,4.433958333333334,,16.704166666666666,18.179166666666667,14.633333333333333,10.45625,10.143333333333333,9.69875,9.3175,9.017083333333332,8.681666666666667,8.013375,7.631625,6.6803333333333335,6.1079583333333325,5.614958333333334
2016-08-19,12916.770833333336,13542.499999999998,0.1,10.071041666666668,10.237041666666665,127.789875,65.668125,63.07791666666666,134.25666666666666,2.9416666666666664,,16.566666666666666,17.995833333333334,14.45,9.527416666666666,9.53,9.314583333333333,9.142916666666666,8.946666666666667,8.708333333333334,8.053958333333332,7.661666666666667,6.6780833333333325,6.102374999999999,5.612666666666668
2016-08-20,12150.0,13155.625,0.0,10.831125,10.708916666666667,94.45238095238096,56.18125,54.60520833333334,66.0165,5.430624999999999,,16.4625,17.895833333333332,14.275000000000002,9.383,9.341666666666667,9.086666666666668,8.885833333333332,8.692916666666667,8.497916666666667,7.9021250000000025,7.56625,6.652666666666666,6.092458333333332,5.612541666666666
2016-08-21,12884.791666666664,13849.270833333336,0.0,10.416666666666668,10.474166666666667,71.15004166666667,57.38125,55.54604166666669,39.583208333333346,11.973208333333332,,16.3125,17.733333333333334,14.137499999999998,8.54625,8.702083333333334,8.605416666666667,8.5575,8.44625,8.349583333333333,7.795750000000001,7.484166666666668,6.610416666666668,6.080125,5.6054999999999975
2016-08-22,14387.291666666664,14870.520833333336,0.0,9.82375,9.89375,64.514625,56.98020833333334,55.07583333333333,41.07170833333333,12.73225,,16.183333333333334,17.6,13.979166666666668,7.826374999999999,7.998291666666666,7.931416666666667,7.943625000000001,7.895500000000001,7.937083333333334,7.5023750000000025,7.289666666666666,6.5420000000000025,6.045750000000001,5.599041666666667
2016-08-23,15931.458333333336,15911.041666666668,0.0,11.216250000000002,11.272916666666667,66.99,58.02166666666667,56.16229166666667,42.798333333333346,14.83166666666667,,16.075,17.466666666666665,13.8375,8.021458333333333,8.049333333333333,7.879666666666667,7.797416666666666,7.690916666666666,7.688208333333333,7.258999999999999,7.0742499999999975,6.431041666666666,5.989625,5.576083333333332
2016-08-24,16407.812500000004,15865.729166666668,0.0,12.515833333333333,12.54125,70.04247826086957,58.58145833333334,56.919375,35.340791666666654,14.16375,,15.954166666666666,17.304166666666667,13.704166666666666,8.464041666666667,8.376833333333332,8.127666666666666,7.962125,7.794708333333332,7.695499999999999,7.204416666666668,6.980083333333333,6.335541666666668,5.923624999999999,5.540583333333334
2016-08-25,16755.208333333332,16747.291666666668,23.40000000000001,10.415458333333335,10.493125000000003,35.19620833333333,78.96979166666667,76.67458333333333,98.0968695652174,5.450708333333334,,17.254166666666666,18.237500000000004,13.629166666666665,8.957500000000003,8.842083333333333,8.565416666666666,8.342916666666667,8.11675,7.887333333333332,7.305833333333332,7.013583333333334,6.292791666666668,5.879833333333332,5.506166666666666
2016-08-26,20418.854166666664,23364.375,18.2,10.063750000000004,10.07125,79.92208333333333,91.19937500000002,90.593125,185.05666666666664,2.2547916666666663,,21.59166666666667,24.25833333333333,17.508333333333333,9.428333333333336,9.249166666666667,8.905833333333334,8.62375,8.372916666666667,8.100291666666665,7.476875,7.1360833333333344,6.31175,5.865666666666668,5.487041666666667
