param#0 	 param#1 	 param#2 	 param#3 	 param#4 	 param#5 	 param#6 	 param#7 	 dist 	  wgt 
0.305060 	0.307612 	0.901848 	0.105987 	0.716565 	4.298535 	0.019051 	0.140038 	1.341689 	0.002000 	
0.160743 	0.317383 	1.284168 	0.192023 	0.793250 	4.459929 	1.822908 	0.047509 	1.817316 	0.002000 	
0.269872 	0.201720 	1.422792 	0.181030 	1.402092 	3.281140 	0.113459 	0.257202 	5.869622 	0.002000 	
0.291963 	0.353013 	1.602290 	0.102581 	1.028007 	5.227036 	0.596221 	0.162914 	1.689874 	0.002000 	
0.187116 	0.453190 	1.540290 	0.417895 	1.433135 	3.239898 	1.116956 	0.237019 	9.426747 	0.002000 	
0.133235 	0.569120 	1.686602 	0.262422 	1.373470 	4.469266 	0.041396 	0.147983 	2.261414 	0.002000 	
0.317900 	0.653206 	1.606168 	0.342557 	0.732159 	3.319629 	0.347101 	0.025729 	9.094361 	0.002000 	
0.171247 	0.164464 	1.856876 	0.300302 	0.582457 	3.787424 	1.120660 	0.155511 	8.978713 	0.002000 	
0.294107 	0.348431 	1.956828 	0.118106 	1.991556 	5.183907 	1.391199 	0.362991 	1.485063 	0.002000 	
0.118109 	0.623974 	0.950975 	0.201904 	1.313176 	5.198234 	1.185163 	0.167281 	3.688714 	0.002000 	
0.209912 	0.138186 	1.189135 	0.662827 	0.686780 	4.198840 	0.576784 	0.126613 	2.687355 	0.002000 	
0.523897 	0.219114 	1.954777 	0.163261 	0.009716 	3.086055 	1.033989 	0.076320 	5.432361 	0.002000 	
0.120987 	0.206013 	1.245769 	0.491733 	1.165794 	4.647670 	1.133020 	0.066832 	2.408851 	0.002000 	
0.158640 	0.350784 	0.941165 	0.341833 	1.740368 	3.838562 	1.382278 	0.107671 	3.901958 	0.002000 	
0.095303 	0.125843 	1.130623 	0.549657 	0.470013 	3.430819 	0.221496 	0.034706 	0.838233 	0.002000 	
0.277036 	0.641771 	1.978494 	0.185741 	0.805782 	4.927488 	0.307833 	0.221534 	9.568717 	0.002000 	
0.035905 	0.855434 	0.872808 	0.105051 	0.876039 	3.853083 	1.909105 	0.117568 	0.988908 	0.002000 	
0.009519 	0.785202 	1.884360 	0.176147 	1.721932 	3.108180 	0.081500 	0.255475 	1.311676 	0.002000 	
0.219617 	0.076833 	1.416310 	0.650971 	0.930266 	4.329809 	0.875717 	0.049287 	5.510167 	0.002000 	
0.076543 	0.463139 	1.145963 	0.462474 	1.103773 	5.389735 	0.504172 	0.186319 	2.337015 	0.002000 	
0.457602 	0.401539 	0.830443 	0.200815 	0.338120 	4.689172 	1.580450 	0.042042 	7.658119 	0.002000 	
0.307134 	0.117040 	1.882195 	0.214584 	1.248988 	5.243543 	1.335437 	0.184728 	1.928948 	0.002000 	
0.056165 	0.211273 	1.851358 	0.240653 	1.629407 	4.647284 	0.740882 	0.333817 	2.013871 	0.002000 	
0.062362 	0.643881 	0.962421 	0.118507 	1.454669 	3.777959 	0.815044 	0.122697 	1.076758 	0.002000 	
0.102748 	0.090100 	1.854056 	0.883868 	1.809438 	4.219167 	1.357493 	0.132629 	2.538640 	0.002000 	
0.001905 	0.605815 	1.356755 	0.150958 	1.967440 	3.603046 	1.635681 	0.143641 	1.434909 	0.002000 	
0.118059 	0.472537 	1.962323 	0.457911 	0.799268 	4.428250 	1.022730 	0.213622 	1.285692 	0.002000 	
0.524185 	0.510150 	1.912832 	0.155420 	0.413399 	3.375112 	0.322569 	0.225545 	4.243368 	0.002000 	
1.360196 	0.095901 	1.774129 	0.141452 	0.530820 	4.522290 	1.771208 	0.222437 	7.311044 	0.002000 	
0.173134 	0.295512 	0.964607 	0.302133 	1.966957 	5.739121 	1.659931 	0.132760 	4.413200 	0.002000 	
0.208058 	0.372505 	1.833941 	0.322748 	1.712720 	4.585305 	1.351071 	0.287422 	7.923402 	0.002000 	
0.060101 	0.359458 	1.446860 	0.346857 	1.302200 	3.946030 	1.057407 	0.167446 	1.041943 	0.002000 	
0.352756 	0.184815 	1.113969 	0.133136 	0.959972 	5.192886 	1.545543 	0.000283 	7.587678 	0.002000 	
0.023067 	0.505587 	1.355085 	0.445003 	1.329106 	3.243798 	0.609958 	0.279694 	1.146773 	0.002000 	
0.035145 	0.778637 	1.693668 	0.208999 	0.445334 	3.523100 	1.205627 	0.208164 	1.016063 	0.002000 	
0.096996 	0.189549 	1.711820 	0.370424 	1.138731 	5.811423 	0.361406 	0.289309 	1.115438 	0.002000 	
0.188775 	0.636526 	1.244825 	0.251444 	0.998270 	3.771304 	1.176333 	0.017516 	3.885125 	0.002000 	
0.228075 	0.117800 	1.771413 	0.465833 	0.877758 	4.577654 	1.705051 	0.018725 	4.488217 	0.002000 	
0.240881 	0.861147 	1.177392 	0.100492 	0.540432 	3.783157 	0.976782 	0.145038 	6.421151 	0.002000 	
0.138285 	0.303131 	0.987030 	0.623963 	1.508803 	4.222667 	1.590751 	0.230332 	4.852855 	0.002000 	
0.389213 	0.098429 	1.640822 	0.115687 	1.328349 	3.421743 	0.098181 	0.160220 	1.429632 	0.002000 	
0.041839 	0.587059 	1.287155 	0.130821 	1.683692 	3.787691 	1.366745 	0.129910 	1.212641 	0.002000 	
0.508128 	0.023100 	1.558614 	0.200626 	0.398937 	4.020263 	0.314715 	0.201041 	4.649656 	0.002000 	
0.271140 	0.014377 	0.983512 	0.140827 	0.916332 	4.443780 	1.889319 	0.061287 	1.707047 	0.002000 	
0.118861 	0.033557 	0.882752 	0.167901 	0.399609 	4.323140 	0.489501 	0.102211 	1.093410 	0.002000 	
0.142951 	0.199534 	1.962998 	0.378292 	1.515993 	3.879130 	1.345018 	0.042817 	5.963504 	0.002000 	
0.045648 	0.237007 	1.115916 	0.701754 	1.785585 	4.946246 	1.504922 	0.077277 	1.144168 	0.002000 	
0.141231 	0.409541 	1.940160 	0.693991 	1.382403 	5.026610 	0.608505 	0.145450 	3.982471 	0.002000 	
0.183310 	0.467318 	1.766109 	0.524291 	1.788291 	4.036600 	1.205180 	0.047085 	8.699344 	0.002000 	
0.811234 	0.239480 	1.874920 	0.103604 	0.141657 	5.428527 	0.774162 	0.072439 	4.904083 	0.002000 	
0.114748 	0.318076 	1.061127 	0.236463 	0.475405 	5.940857 	1.136263 	0.121413 	1.027219 	0.002000 	
0.008913 	0.078936 	1.729838 	0.888873 	1.256959 	5.745993 	0.438784 	0.096412 	1.294578 	0.002000 	
0.041413 	0.755711 	1.279148 	0.176548 	1.846644 	3.338875 	1.346908 	0.052543 	1.201661 	0.002000 	
0.134618 	0.105416 	1.066525 	0.135066 	1.888592 	3.020953 	0.831543 	0.135379 	1.417451 	0.002000 	
0.112141 	0.394220 	1.759576 	0.135385 	1.526375 	5.286875 	0.032844 	0.273083 	2.947222 	0.002000 	
0.003010 	0.319846 	1.986455 	0.684480 	1.904965 	3.748892 	1.268271 	0.133231 	1.413226 	0.002000 	
0.082143 	0.604481 	1.587287 	0.154083 	1.978612 	4.611992 	0.110079 	0.132875 	3.489698 	0.002000 	
0.022378 	0.249855 	1.789396 	0.132212 	1.588613 	4.897576 	0.899636 	0.104200 	1.346375 	0.002000 	
0.358799 	0.143064 	1.197561 	0.107952 	1.752278 	4.283831 	1.621204 	0.078111 	8.135029 	0.002000 	
0.046662 	0.240116 	1.688608 	0.565294 	0.421080 	5.245825 	1.428561 	0.133896 	1.048434 	0.002000 	
0.180522 	0.178868 	1.996076 	0.502059 	0.737522 	4.717744 	0.625058 	0.108024 	2.006364 	0.002000 	
0.159215 	0.811058 	1.374710 	0.213503 	1.345653 	5.446907 	1.700662 	0.004532 	3.834607 	0.002000 	
0.438594 	0.566712 	1.300530 	0.145822 	0.478824 	3.846934 	1.912262 	0.234133 	9.638923 	0.002000 	
0.247980 	0.190425 	1.720256 	0.238563 	0.770627 	3.203572 	0.061771 	0.204196 	1.543557 	0.002000 	
0.427661 	0.534121 	1.180312 	0.155559 	0.313418 	4.486230 	0.275704 	0.151373 	9.667084 	0.002000 	
0.269568 	0.175592 	1.656733 	0.196004 	1.852644 	5.069191 	0.866296 	0.105792 	6.405699 	0.002000 	
0.076939 	0.528464 	1.970773 	0.410636 	1.886276 	5.709988 	0.170574 	0.183053 	1.564420 	0.002000 	
0.067412 	0.323458 	0.903561 	0.650878 	1.976082 	5.786650 	0.289334 	0.263575 	2.042582 	0.002000 	
0.146423 	0.435201 	1.584966 	0.368711 	1.401392 	4.211996 	1.117806 	0.030626 	4.470354 	0.002000 	
0.000557 	0.186383 	1.872853 	0.968646 	1.934456 	4.391681 	1.956292 	0.197342 	1.460682 	0.002000 	
0.137539 	0.318029 	1.821620 	0.498794 	1.603096 	4.986422 	1.519702 	0.221502 	5.426743 	0.002000 	
0.129484 	0.625011 	1.380265 	0.122837 	1.768389 	3.103436 	1.934179 	0.073993 	5.562574 	0.002000 	
0.308750 	0.337542 	1.544505 	0.204824 	1.536609 	4.523189 	0.261808 	0.324081 	6.248251 	0.002000 	
0.015298 	0.395108 	1.324187 	0.150584 	0.165212 	5.024693 	0.381498 	0.111772 	1.293093 	0.002000 	
0.016142 	0.243929 	1.590662 	0.552889 	1.257412 	5.305612 	1.852496 	0.185806 	1.266708 	0.002000 	
0.595397 	0.078663 	1.837131 	0.307643 	1.245127 	3.688991 	1.475812 	0.263515 	6.984810 	0.002000 	
0.048582 	0.360929 	1.259526 	0.140115 	1.307329 	4.904427 	1.556139 	0.162833 	1.106909 	0.002000 	
0.417494 	0.451421 	1.001371 	0.126586 	0.913597 	5.575925 	1.904117 	0.168919 	5.916363 	0.002000 	
0.147767 	0.358247 	0.994648 	0.173696 	1.805024 	4.551039 	0.490361 	0.190987 	4.457948 	0.002000 	
0.324676 	0.282888 	1.284970 	0.351108 	0.759661 	4.808572 	0.195559 	0.076385 	8.918514 	0.002000 	
0.133446 	0.066243 	1.838003 	1.137501 	0.911619 	4.630694 	1.453193 	0.009137 	1.639691 	0.002000 	
0.051444 	0.171632 	1.699384 	0.538092 	0.726084 	3.204585 	0.164773 	0.163827 	1.045442 	0.002000 	
0.071453 	0.328221 	1.713759 	0.631786 	1.329017 	4.201789 	1.416886 	0.034822 	1.203145 	0.002000 	
0.173914 	0.475116 	1.587073 	0.332117 	1.716551 	4.259774 	1.097398 	0.082931 	4.982574 	0.002000 	
0.240301 	0.570175 	0.878440 	0.104512 	0.977011 	5.864116 	0.858295 	0.171680 	4.128711 	0.002000 	
