param#0 	 param#1 	 param#2 	 param#3 	 param#4 	 param#5 	 param#6 	 param#7 	 param#8 	 dist 	  wgt 
0.164425 	0.987170 	0.891375 	1.335425 	0.045726 	0.016881 	0.007190 	0.005259 	0.316207 	0.980358 	0.010000 	
0.181979 	0.908715 	1.449685 	0.666798 	0.051328 	0.017497 	0.005471 	0.009383 	0.430289 	0.651711 	0.010000 	
0.174406 	1.006909 	1.857485 	0.361780 	0.069440 	0.018533 	0.009985 	0.003569 	0.416444 	0.609846 	0.010000 	
0.207941 	1.071185 	1.069993 	0.993236 	0.027192 	0.019958 	0.001367 	0.006646 	0.466219 	1.034374 	0.010000 	
0.169740 	1.053492 	1.333222 	1.324978 	0.070419 	0.024254 	0.002769 	0.003542 	0.467445 	0.907609 	0.010000 	
0.199933 	0.924594 	1.834316 	0.738011 	0.040782 	0.022235 	0.004121 	0.009043 	0.446330 	0.747551 	0.010000 	
0.224815 	0.901570 	1.731923 	0.423700 	0.001174 	0.024315 	0.006604 	0.002328 	0.482940 	0.688988 	0.010000 	
0.232024 	1.053270 	1.010108 	1.156804 	0.019951 	0.017665 	0.006345 	0.007900 	0.344411 	1.141376 	0.010000 	
0.174841 	0.995510 	0.965839 	1.185717 	0.079513 	0.017851 	0.004356 	0.001581 	0.471849 	0.920153 	0.010000 	
0.249939 	1.063498 	1.223579 	0.797385 	0.089847 	0.021966 	0.007064 	0.002909 	0.329682 	0.905048 	0.010000 	
0.245650 	1.017687 	0.874036 	0.509096 	0.083384 	0.017625 	0.009997 	0.000350 	0.479355 	0.881984 	0.010000 	
0.205359 	1.065127 	1.323623 	0.945508 	0.035430 	0.024184 	0.007672 	0.005925 	0.478460 	0.896708 	0.010000 	
0.191667 	0.985483 	1.193044 	0.568031 	0.042607 	0.021519 	0.009422 	0.000779 	0.357427 	0.675570 	0.010000 	
0.153375 	0.989260 	1.924538 	0.385692 	0.069520 	0.017443 	0.001571 	0.004618 	0.461835 	0.759836 	0.010000 	
0.246066 	0.975551 	1.722774 	1.319967 	0.011694 	0.015555 	0.000630 	0.002258 	0.494545 	0.969055 	0.010000 	
0.212970 	0.960676 	1.331706 	1.273453 	0.012941 	0.024853 	0.009495 	0.006303 	0.436009 	0.934388 	0.010000 	
0.194107 	0.992129 	1.578625 	0.540507 	0.046417 	0.015139 	0.007296 	0.005607 	0.378857 	0.647419 	0.010000 	
0.213722 	0.931018 	1.846914 	0.389418 	0.072081 	0.021072 	0.009759 	0.000173 	0.459944 	0.757171 	0.010000 	
0.182223 	1.065497 	1.109100 	1.488813 	0.039618 	0.021510 	0.009073 	0.007303 	0.425561 	1.090643 	0.010000 	
0.247676 	1.025597 	1.039086 	0.439805 	0.013521 	0.022557 	0.002060 	0.007691 	0.438163 	0.870299 	0.010000 	
0.180204 	1.029045 	1.300736 	0.214686 	0.031775 	0.017157 	0.001364 	0.002120 	0.322641 	0.624218 	0.010000 	
0.174877 	1.090628 	1.728828 	0.458193 	0.061405 	0.018864 	0.005173 	0.000566 	0.430995 	0.699736 	0.010000 	
0.238223 	1.077989 	0.880671 	0.716558 	0.082369 	0.020920 	0.007857 	0.001355 	0.489753 	1.028418 	0.010000 	
0.204179 	1.050866 	0.939260 	0.515503 	0.049147 	0.019965 	0.007604 	0.007271 	0.459043 	0.830799 	0.010000 	
